Date,HomeTeam,AwayTeam
2025-08-08,St Truiden,Dender
2025-08-09,Club Brugge,Cercle Brugge
2025-08-09,Westerlo,Mechelen
2025-08-09,Gent,St. Gilloise
2025-08-10,RAAL La Louviere,Charleroi
2025-08-10,Anderlecht,Waregem
2025-08-10,Standard,Genk
2025-08-10,Antwerp,Oud-Heverlee Leuven
2025-08-15,Oud-Heverlee Leuven,Genk
2025-08-16,Waregem,Club Brugge
2025-08-16,Mechelen,Gent
2025-08-16,St. Gilloise,Standard
2025-08-17,Dender,Anderlecht
2025-08-17,St Truiden,RAAL La Louviere
2025-08-17,Charleroi,Antwerp
2025-08-17,Cercle Brugge,Westerlo
2025-08-23,Club Brugge,Westerlo
2025-08-23,Standard,Cercle Brugge
2025-08-23,Waregem,St Truiden
2025-08-24,Antwerp,Mechelen
2025-08-24,Anderlecht,Gent
2025-08-24,RAAL La Louviere,St. Gilloise
2025-08-24,Dender,Oud-Heverlee Leuven
2025-08-24,Genk,Charleroi